German,English
sie,she
das,the
ist,is
du,you
nicht,not
die,the
es,it
und,and
der,the
wir,we
was,What
zu,to
er,he
ein,a
in,in
mir,me
mit,with
ja,Yes
den,the
wie,How
mich,me
auf,on
dass,that
eine,one
aber,but
so,so
hat,has
hier,here
haben,have
sind,are
für,for
von,from
dich,you
war,was
wenn,if
ihr,her
habe,have
nein,no
an,to
bin,am
noch,still
da,there
dir,you
nur,only
einen,a
sich,itself
uns,us
hast,have
dem,dem
kann,can
sein,be
auch,also
ihn,him
schon,already
als,as
jetzt,now
gut,good
mal,just
aus,out of
um,to
meine,mine
dann,then
wird,becomes
im,in the
bist,are
mein,my
doch,but
alles,everything
keine,no
weiß,white
oder,or
nach,after
s,s
werden,become
nichts,nothing
man,man
wo,where
ihnen,them
etwas,something
muss,must
will,will
geht,goes
oh,Oh
mehr,more
also,so
bei,at
immer,always
bitte,please
warum,Why
hab,have
vor,before
los,go
können,can
wieder,again
sagen,say
machen,make
alle,all
sehr,very
mann,man
okay,OK
gehen,go
denn,because
zum,for the
tun,do
ihm,him
diese,this
danke,Thanks
sehen,see
wer,who
einem,a
euch,you
komm,come
vielleicht,perhaps
einer,one
ihre,her
werde,become
gibt,gives
über,above
deine,your
wissen,knowledge
müssen,must
wirklich,really
soll,should
nie,never
weg,away
hey,hey
kein,no
des,the
würde,would
einfach,simply
leben,life
am,at
viel,much
tut,does
willst,want
kommen,come
zeit,time
nun,so
hatte,had
dein,your
weil,because
kommt,comes
heute,today
wollen,want
weißt,you know
damit,with it
frau,woman
gesagt,said
wäre,were
ganz,quite
wurde,became
bis,until
sicher,secure
kannst,can
zurück,back
dieser,this
wollte,wanted
leid,sorrow
lassen,let
macht,might
na,n/a
gott,God
meinen,mean
hallo,Hello
seine,his
zwei,two
lass,let
hätte,would have
zur,to
waren,were
genau,Exactly
könnte,could
vater,father
morgen,morning
leute,people
klar,clear
ok,OK
ab,away
tag,day
gerade,straight
gesehen,seen
schön,nice
glaube,believe
liebe,love
geld,money
durch,through
reden,talk
unsere,our
jemand,someone
mach,do
raus,out
sagte,said
keinen,none
ob,whether
sollte,should
gemacht,made
mutter,mother
dieses,this
paar,couple
sir,sir
passiert,happened
musst,must
wohl,probably
möchte,want
besser,better
dachte,thought
selbst,himself
her,her
hör,listen
gehört,heard
wirst,will
sag,say
ohne,without
nacht,night
diesen,this
anderen,others
meiner,my
wieso,how come
finden,find
dort,there
helfen,help
meinem,my
lange,long
gute,good
ordnung,order
geben,give
weiter,further
natürlich,naturally
sei,be
ins,into the
gar,even
geh,go
richtig,correct
diesem,this
vom,from the
sagt,says
denke,think
seit,since
gleich,even
hören,hear
ach,Oh
mädchen,girl
davon,of that
sieht,sees
ihren,your
recht,right
dafür,for that
wegen,because of
hause,house
hin,there
warte,wait
drei,three
deinen,your
abend,evening
freund,friend
guten,good
sollen,should
sollten,should
haus,a house
menschen,people
viele,many
bleiben,remain
machst,do
musik,music
unser,our
angst,fear
schnell,fast
tot,dead
welt,world
zusammen,together
habt,have
unter,under
scheiße,shit
nehmen,take
eines,one
herr,Mr
andere,other
getan,did
rein,pure
bringen,bring
ganze,whole
essen,eat
kinder,children
glauben,believe
genug,enough
darf,may
junge,boy
stimmt,TRUE
brauchen,need
gegen,against
moment,moment
erst,first
seid,are
einmal,once
sonst,otherwise
niemand,no one
arbeit,work
steht,stands
warten,wait
dabei,included
fragen,questions
sofort,immediately
jahre,years
halt,stop
verdammt,damned
ihrer,their
bevor,before
sohn,son
familie,family
heißt,is called
jeder,everyone
sprechen,speak
gefunden,found
sache,matter
problem,problem
fertig,complete
allein,alone
wann,When
brauche,need
bruder,brother
hilfe,help
halten,hold
hatten,had
kind,child
siehst,you
darüber,about it
konnte,could
wahr,TRUE
warst,were
beim,at the
ne,no
seinen,his
beide,both
denken,think
jahren,years
daran,to it
kam,came
dazu,in addition
gib,give
würden,would
verstehe,understand
deinem,your
ihrem,their
deiner,your
wusste,knew
könnten,could
fall,case
lieber,Dear
eigentlich,actually
bekommen,receive
jeden,every
sieh,look
dank,thanks to
vergessen,forget
kennen,know
mag,likes
sehe,see
frage,ask
gern,gladly
komme,come
stadt,city
sage,saw
kopf,head
männer,men
egal,doesn't matter
letzte,last
namen,names
gab,gave
kleine,small
mache,make
töten,kill
fahren,drive
all,all
n,n
später,later
uhr,clock
ende,end
baby,baby
gehe,go
glück,happiness
dinge,things
freunde,friends
bisschen,a little
sterben,die
darauf,on it
bald,soon
minuten,minutes
echt,real
bereit,ready
eins,one
augen,eyes
runter,down
jungs,guys
seiner,his
polizei,police
auto,car
eure,your
vielen,many
stehen,stand
weit,far
meinst,do you mean
draußen,outside
tür,door
dad,dad
wurden,became
verrückt,crazy
kerl,guy
hätten,have
einzige,only
vorbei,over
treffen,meet
ganzen,entire
hi,hi
ahnung,idea
teufel,devil
kenne,I know
hinter,behind
fast,almost
name,name
arbeiten,work
gerne,gladly
dran,your turn
neue,new
ziemlich,quite
ruhig,quiet
ging,went
sorgen,care for
verstanden,understood
tochter,daughter
toll,great
jemanden,someone
sogar,even
überhaupt,at all
he,he
spät,late
hört,hears
frauen,women
hand,hand
drin,inside
schau,look
nimm,take
seinem,his
mama,mama
lang,long
solltest,should
verloren,lost
art,art
sah,saw
verstehen,understand
große,size
darum,therefore
denkst,think
job,job
ruhe,quiet
braucht,needs
woher,from where
spielen,play
idee,idea
suchen,seek
je,each
kommst,come
liegt,lies
grund,reason
versuchen,attempt
jahr,year
gekommen,came
wasser,water
gewesen,been
endlich,finally
schwester,sister
keiner,none
wenig,few
tod,death
versucht,tried
oben,above
letzten,last
geschichte,story
erste,first
alter,age
kurz,short
bedeutet,means
niemals,never
hoffe,hope
fünf,five
welche,which
hoch,high
etwa,approximately
erzählt,told
finde,find
land,country
lasst,let
bringt,brings
getötet,killed
stunden,hours
holen,fetch
schwer,difficult
lässt,lets
verlassen,leave
anders,different
