Lang,English
的,of
我,I
你,you
了,Already
是,yes
在,exist
他,he
我们,us
不,No
吗,Ma
好,good
什么,What
有,have
就,At once
吧,Bar
她,she
这,this
知道,Know
说,explain
都,All
去,go
很,very
啊,ah
要,want
也,also
他们,them
和,and
那,That
想,think
人,people
会,meeting
一个,one
来,Come
把,Bundle
对,right
没有,No
做,Do
不是,no
让,let
给,Give
你,you
可以,Can
我,I
你们,you
呢,Woolen cloth
但,but
我我,I I
到,arrive
还,return
现在,Now
the,the
这个,this
能,able
怎么,how
就是,that is
跟,and
如果,if
没,without
它,it
走,Walk
上,superior
得,have to
被,quilt
这里,here
这样,so
个,indivual
看,look
事,thing
to,to
自己,Own
着,Wearing
谁,who
过,Pass
不会,Won't
一个,one
告诉,Tell
小号,small
为什么,Why
不能,cannot
真的,real
造反,rebel
先生,gentlemen
只是,only
不要,don't want
这是,This is
已经,already
再,Again
哦,oh
需要,need
实在,really
因为,because
谢谢,Thanks
像,picture
这么,so
可能,possible
但是,but
那个,that
所以,so
喜欢,like
又,again
叫,Call
快,quick
我要,I want
觉得,feel
别,Don't
听,listen
找,try to find
里,inside
还有,besides
时候,when
东西,thing
等,wait
死,die
多,many
从,from
我会,I can
一起,Together
和,and
应该,should
我們,we
这些,These
拜,bye
意义,significance
请,please
孩子,child
看到,See
一下,one time
那么,So
为,for
嗎,Is that right?
而,and
味道,smell
您,you
才,talent
用,use
还是,still
嗯,Um
问题,question
工作,Work
一样,Same
呀,ah
开始,start
吃,eat
嘿,Hey
当,when
真,real
中,middle
然后,Then
看看,have a look
說,say
地方,place
一定,must
将,Will
希望,hope
朋友,friend
今天,today
拿,take
一,one
啦,La
梦,Dream
事情,matter
一直,Always
所有,all
学习,study
找到,turn up
什麼,what
哪,where
当然,certainly
们,They
回来,return
不想,In no mood
更,Even
最,most
帮,help
是,yes
没事,fine
只,Only
那些,Those ones
可,Can
明白,clear
的话,If
爸爸,dad
什么,What
下,Down
太,too
离开,leave
一切,everything
时间,time
相信,believe
chffffff,chffffff
妈妈,Mother
想要,want to
爱,like
发生,occur
打,beat
点,point
來,Come
钱,money
大,big
起来,stand up
我,I
真是,Really
你好,Hello
抱歉,Feel sorry
必须,must
认为,think
一点,a little
非常,Very
那里,There
对不起,sorry
天,sky
也许,Maybe
大家,Everyone
哪里,where
有人,Someone
该,Should
意思,mean
杀,kill
准备,Prepare
并,and
出来,come out
这,this
与,and
时,hour
不过,but
一些,Some
为了,for
带,bring
女人,woman
他,he
邮,mail
这儿,here
后,back
只有,only
过来,come over
比,Compare
一次,once
得到,get
同时,at the same time
很多,a lot of
在,exist
任何,any
这种,This
为了,for
小,Small
怎么样,How about it
對,right
感觉,Feel
年,Year
是不是,Yes or no
以为,Think
不起,Unable to
而且,and
呼吸,breathe
你的,your
前,forward
生活,Life
男人,man
之前,Before
喂,Hello
问,ask
发现,Discover
噢,oh
可是,But
快点,hurry up
嗨,Hi
妈,mom
两个,two
不用,Need not
是从,From
地,land
向,Towards
名字,name
have,have
没错,That's right
曾是,Once upon a time
no,no
见,See
do,do
世界,world
沒,not
记得,Remember
住,live
新,new
be,be
不错,good
肯定,affim
最好,most
not,not
不行,no
等等,etc.
嘛,Well
出去,go out
么,What
先,First
為,for
亲爱,dear
或,or
can,can
are,are
don,don
他們,them
担心,Worry
如何,how
到底,in the end
有点,A little
最后,at last
小姐,Miss
上帝,God
认识,know
知道,Know
會,Can
正在,In progress
那样,That
父亲,Father
高兴,Happy
明天,tomorrow
重要,important
跑,run
警察,police
只要,if only
干什么,What to do
好像,like
再见,goodbye
月,moon
我能,I can
继续,continue
出,out
今晚,tonight
全部,all
他妈的,damn it
和,and
回家,go home
它们,they
多少,How many
电话,Telephone
听到,Hear
干嘛,what
只是,only
干,Dry
但,but
医生,doctor
要是,if
女孩,girl
所以,so
這,This
所,Place
讓,let
马上,immediately
过去,past
以前,before
他们,them
儿子,son
哪儿,where
说话,say
买,purchase
看起来,It looks
喊,call
一個,One
优秀 ,excellent 
完全,completely
该死,Damn it
内容,content
美国,USA
怎样,how
回去,go back
以,by
却,but
其他,other
永远,forever
家伙,guy
之后,after
怎麼,How
看见,see
或者,or
大师,master
小心,careful
世界,world
行,OK
别人,other people
成为,become
写,Write
不到,less
这张,This
情况,Condition
随着,along with
送,deliver
伙计,buddy
一天,one day
玩,Play
见到,See
放,put
晚上,night
喝,drink
总是,always
好好,well
琌,琌
号,Number
如此,in this way
家,Home
坐,sit
了解,learn
混乱,confusion
有没有,Is there?
兄弟,brother
没什么,nothing
我来,I'll come.
结束,Finish
机会,Chance
已,already
安全,Safety
拜托,Please
决定,Decide
穿,wear
确定,Sure
里面,in
呃,Well
怎么办,what to do
还好,fine
无法,Unable
小时,Hour
站,stand
清楚,clear
有些,some
错,wrong
這個,this
帮助,help
长官,Commander
出去,go out
聊天,chat
公司,company
伙伴,partner
打电话,Call up
房子,house
根本,fundamental
懂,Understand
办法,way
し,し
不管,in spite of
混蛋,asshole
关于,about
正确的,Correct
她们,they
搞,Do
计划,plan
唯一,only
来说,To be honest
女儿,daughter
态度,manner
看着,Looking
宝贝,baby
每个,Each
关于,about
怎么回事,What happened?
個,Piece
其实,actually
漂亮,pretty
黑体,black body
這樣,This way
车,car
如果,if
人们,people
真正,real
甚至,even
那边,there
弄,alley
开,open
不好,not good
他,he
喔,oh
回,return
进来,Come in
裏,inside
夫人,lady
之,Of
在,exist
现在,Now
愿意,willing
麻烦,trouble
现在,Now
睡,sleep
哇,Wow
就要,It is about to
打算,Intend
完,over
故事,story
一种,A sort of
