Russian,English
не,Not
что,What
блять,fuck
и,And
ты,You
это,This
на,on
с,With
он,He
мы,We
как,How
вы,You
да,Yes
мне,to me
у,at
нет,No
меня,me
так,So
но,But
а,A
его,his
все,All
она,she
тебя,you
о,O
если,If
бы,would
тебе,you
за,for
они,They
чтобы,to
же,same
просто,Just
есть,There is
из,from
ну,Well
к,To
для,For
хорошо,Fine
когда,When
здесь,Here
по,By
был,was
знаю,I know
то,That
только,only
было,was
может,Maybe
вас,you
всё,All
нас,us
от,from
вот,Here
быть,be
будет,will
кто,Who
почему,Why
вам,to you
очень,Very
могу,Can
их,their
еще,more
уже,already
или,or
спасибо,Thank you
нам,us
там,there
чем,how
хочу,Want
сейчас,Now
где,Where
нужно,need to
этого,this
ничего,Nothing
ее,her
была,was
мой,my
знаешь,You know
ладно,OK
этом,this
до,to
потому,That's why
теперь,Now
думаю,Think
больше,more
п,p
со,with
раз,once
её,her
время,time
ему,to him
надо,necessary
этот,this
ли,whether
привет,Hello
даже,even
пока,Bye
сказал,said
себя,myself
должен,must
хочешь,Want
давай,Let's
эй,Hey
ещё,more
того,Togo
никогда,never
тоже,Same
тогда,Then
него,him
были,were
конечно,Certainly
ни,no
об,about
правда,Truth
тут,here
моя,my
пожалуйста,Please
сказать,say
тобой,you
сегодня,Today
один,one
можешь,can
лучше,better
сюда,here
мной,me
сделать,do
значит,Means
всегда,Always
ей,to her
порядке,in order
дело,case
должны,should
том,volume
можно,Can
без,without
день,day
буду,will
делать,do
хотел,wanted
эти,these
много,many
этим,this
после,after
чего,what
всего,total
твой,your
во,in
ним,him
лет,years
боже,God
них,them
мистер,Mister
жизнь,life
ней,her
ведь,after all
такой,such
потом,Then
который,which
немного,A little
возможно,Maybe
через,through
сэр,sir
всех,everyone
слишком,too much
себе,to myself
им,them
такое,such
должна,should
моей,mine
знаете,you know
думаешь,do you think
этой,this
люди,People
зачем,For what
свою,my
твоя,yours
сказала,said
человек,Human
назад,back
эту,this one
под,under
точно,exactly
можем,Can
отец,father
мама,Mother
случилось,happened
мог,could
вместе,together
сделал,did
кажется,Seems
мои,my
друг,Friend
никто,nobody
куда,Where
эта,this
которые,which
два,two
тот,That
жизни,life
сколько,How many
нравится,like
поэтому,That's why
понимаю,Understand
снова,again
парень,boy
люблю,I love
видел,saw
людей,people
помочь,help
хочет,wants
